ship_id,amount_pre_share,amount_hosp_share_55,amount_clinic_share_55,amount_hosp_share_73,amount_clinic_share_73,delta_hosp,delta_clinic
S00000001,1320000.0,660000.0,660000.0,924000.0,396000.0,264000.0,-264000.0
S00000002,11856000.0,5928000.0,5928000.0,8299200.0,3556800.0,2371200.0,-2371200.0
S00000003,928000.0,464000.0,464000.0,649600.0,278400.0,185600.0,-185600.0
S00000004,742500.0,371250.0,371250.0,519750.0,222750.0,148500.0,-148500.0
S00000005,756000.0,378000.0,378000.0,529200.0,226800.0,151200.0,-151200.0
S00000006,1729600.0,864800.0,864800.0,1210720.0,518880.0,345920.0,-345920.0
S00000007,484400.0,242200.0,242200.0,339080.0,145320.0,96880.0,-96880.0
S00000008,1385700.0,692850.0,692850.0,969990.0,415710.0,277140.0,-277140.0
S00000009,5253858.0,2626929.0,2626929.0,3677700.6,1576157.4,1050771.6,-1050771.6
S00000010,15280080.0,7640040.0,7640040.0,10696056.0,4584024.0,3056016.0,-3056016.0
S00000011,302400.0,151200.0,151200.0,211680.0,90720.0,60480.0,-60480.0
S00000012,1036800.0,518400.0,518400.0,725760.0,311040.0,207360.0,-207360.0
S00000013,8917902.0,4458951.0,4458951.0,6242531.4,2675370.6,1783580.4,-1783580.4
S00000014,6059073.0,3029536.5,3029536.5,4241351.1,1817721.9,1211814.6,-1211814.6
S00000015,415400.0,207700.0,207700.0,290780.0,124620.0,83080.0,-83080.0
S00000016,13755819.0,6877909.5,6877909.5,9629073.3,4126745.7,2751163.8,-2751163.8
S00000017,3068000.0,1534000.0,1534000.0,2147600.0,920400.0,613600.0,-613600.0
S00000018,14550000.0,7275000.0,7275000.0,10185000.0,4365000.0,2910000.0,-2910000.0
S00000019,8447868.0,4223934.0,4223934.0,5913507.6,2534360.4,1689573.6,-1689573.6
S00000020,4040040.0,2020020.0,2020020.0,2828028.0,1212012.0,808008.0,-808008.0
S00000021,3762000.0,1881000.0,1881000.0,2633400.0,1128600.0,752400.0,-752400.0
S00000022,5502000.0,2751000.0,2751000.0,3851400.0,1650600.0,1100400.0,-1100400.0
S00000023,2392500.0,1196250.0,1196250.0,1674750.0,717750.0,478500.0,-478500.0
S00000024,283500.0,141750.0,141750.0,198450.0,85050.0,56700.0,-56700.0
S00000025,18396000.0,9198000.0,9198000.0,12877200.0,5518800.0,3679200.0,-3679200.0
S00000026,639200.0,319600.0,319600.0,447440.0,191760.0,127840.0,-127840.0
S00000027,18676116.0,9338058.0,9338058.0,13073281.2,5602834.8,3735223.2,-3735223.2
S00000028,3798900.0,1899450.0,1899450.0,2659230.0,1139670.0,759780.0,-759780.0
S00000029,6104835.0,3052417.5,3052417.5,4273384.5,1831450.5,1220967.0,-1220967.0
S00000030,4020000.0,2010000.0,2010000.0,2814000.0,1206000.0,804000.0,-804000.0
S00000031,2457000.0,1228500.0,1228500.0,1719900.0,737100.0,491400.0,-491400.0
S00000032,2868981.0,1434490.5,1434490.5,2008286.7,860694.3,573796.2,-573796.2
S00000033,2707200.0,1353600.0,1353600.0,1895040.0,812160.0,541440.0,-541440.0
S00000034,336700.0,168350.0,168350.0,235690.0,101010.0,67340.0,-67340.0
S00000035,4104000.0,2052000.0,2052000.0,2872800.0,1231200.0,820800.0,-820800.0
S00000036,1566200.0,783100.0,783100.0,1096340.0,469860.0,313240.0,-313240.0
S00000037,1722700.0,861350.0,861350.0,1205890.0,516810.0,344540.0,-344540.0
S00000038,6014000.0,3007000.0,3007000.0,4209800.0,1804200.0,1202800.0,-1202800.0
S00000039,9343854.0,4671927.0,4671927.0,6540697.8,2803156.2,1868770.8,-1868770.8
S00000040,2027400.0,1013700.0,1013700.0,1419180.0,608220.0,405480.0,-405480.0
S00000041,338200.0,169100.0,169100.0,236740.0,101460.0,67640.0,-67640.0
S00000042,5418000.0,2709000.0,2709000.0,3792600.0,1625400.0,1083600.0,-1083600.0
S00000043,2204000.0,1102000.0,1102000.0,1542800.0,661200.0,440800.0,-440800.0
S00000044,2668029.0,1334014.5,1334014.5,1867620.3,800408.7,533605.8,-533605.8
S00000045,13860000.0,6930000.0,6930000.0,9702000.0,4158000.0,2772000.0,-2772000.0
S00000046,3196000.0,1598000.0,1598000.0,2237200.0,958800.0,639200.0,-639200.0
S00000047,1574300.0,787150.0,787150.0,1102010.0,472290.0,314860.0,-314860.0
S00000048,1773100.0,886550.0,886550.0,1241170.0,531930.0,354620.0,-354620.0
S00000049,2515932.0,1257966.0,1257966.0,1761152.4,754779.6,503186.4,-503186.4
S00000050,2874300.0,1437150.0,1437150.0,2012010.0,862290.0,574860.0,-574860.0
S00000051,2438100.0,1219050.0,1219050.0,1706670.0,731430.0,487620.0,-487620.0
S00000052,15401898.0,7700949.0,7700949.0,10781328.6,4620569.4,3080379.6,-3080379.6
S00000053,11010879.0,5505439.5,5505439.5,7707615.3,3303263.7,2202175.8,-2202175.8
S00000054,1749300.0,874650.0,874650.0,1224510.0,524790.0,349860.0,-349860.0
S00000055,4560000.0,2280000.0,2280000.0,3192000.0,1368000.0,912000.0,-912000.0
S00000056,1172600.0,586300.0,586300.0,820820.0,351780.0,234520.0,-234520.0
S00000057,36344000.0,18172000.0,18172000.0,25440800.0,10903200.0,7268800.0,-7268800.0
S00000058,182500.0,91250.0,91250.0,127750.0,54750.0,36500.0,-36500.0
S00000059,151800.0,75900.0,75900.0,106260.0,45540.0,30360.0,-30360.0
S00000060,1667700.0,833850.0,833850.0,1167390.0,500310.0,333540.0,-333540.0
S00000061,585200.0,292600.0,292600.0,409640.0,175560.0,117040.0,-117040.0
S00000062,73320000.0,36660000.0,36660000.0,51324000.0,21996000.0,14664000.0,-14664000.0
S00000063,551000.0,275500.0,275500.0,385700.0,165300.0,110200.0,-110200.0
S00000064,11224122.0,5612061.0,5612061.0,7856885.4,3367236.6,2244824.4,-2244824.4
S00000065,7434000.0,3717000.0,3717000.0,5203800.0,2230200.0,1486800.0,-1486800.0
S00000066,1861200.0,930600.0,930600.0,1302840.0,558360.0,372240.0,-372240.0
S00000067,2491200.0,1245600.0,1245600.0,1743840.0,747360.0,498240.0,-498240.0
S00000068,32900175.0,16450087.5,16450087.5,23030122.5,9870052.5,6580035.0,-6580035.0
