year_quarter (연분기),territory_code (영업권역코드),brand (브랜드),overlap_group_id (중첩그룹ID),participant_count (참여자수),pool_amount_pre_share (풀쉐어전금액),pool_amount_post_share (풀쉐어후금액),pool_amount_hosp_share (풀병원배분금액),pool_amount_clinic_share (풀의원배분금액),rounding_delta_sum (라운딩보정합),overlap_generated_rows (중첩생성행수),participant_type_set (참여자유형집합),share_rule_source_set (룰소스집합),conservation_gap (보전성갭)
2025-Q1,T01,가브스정,OG_2025-Q1_T01_가브스정_01,13,143202401.0,143202401.0,71601200.5,71601200.5,0.0,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,가브스정,OG_2025-Q1_T01_가브스정_02,6,26348105.0,26348105.0,13174052.5,13174052.5,0.01,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,가브스정,OG_2025-Q1_T01_가브스정_03,9,81513063.0,81513063.0,40756531.5,40756531.5,0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,가브스정,OG_2025-Q1_T01_가브스정_04,7,70851911.0,70851911.0,35425955.5,35425955.5,0.0,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,가브스정,OG_2025-Q1_T01_가브스정_05,15,81398003.0,81398003.0,40699001.5,40699001.5,0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,글루코파지정,OG_2025-Q1_T01_글루코파지정_01,9,43846097.0,43846097.0,21923048.5,21923048.5,0.0,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,글루코파지정,OG_2025-Q1_T01_글루코파지정_02,7,20298871.0,20298871.0,10149435.5,10149435.5,0.0,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,글루코파지정,OG_2025-Q1_T01_글루코파지정_03,7,26563131.0,26563131.0,13281565.5,13281565.5,-0.01,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,글루코파지정,OG_2025-Q1_T01_글루코파지정_04,15,51720461.0,51720461.0,25860230.5,25860230.5,0.0,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,글루코파지정,OG_2025-Q1_T01_글루코파지정_05,8,32523487.0,32523487.0,16261743.5,16261743.5,-0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,네시나정,OG_2025-Q1_T01_네시나정_01,13,83512422.0,83512422.0,41756211.0,41756211.0,0.0,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,네시나정,OG_2025-Q1_T01_네시나정_02,13,90645285.0,90645285.0,45322642.5,45322642.5,0.0,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,네시나정,OG_2025-Q1_T01_네시나정_03,10,146010071.0,146010071.0,73005035.5,73005035.5,0.02,5,"hosp,mixed",direct,0.0
2025-Q1,T01,네시나정,OG_2025-Q1_T01_네시나정_04,11,133145607.0,133145607.0,66572803.5,66572803.5,0.02,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,네시나정,OG_2025-Q1_T01_네시나정_05,9,97069384.0,97069384.0,48534692.0,48534692.0,0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,넥시움정,OG_2025-Q1_T01_넥시움정_01,14,68287916.0,68287916.0,34143958.0,34143958.0,0.03,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,넥시움정,OG_2025-Q1_T01_넥시움정_02,10,48265017.0,48265017.0,24132508.5,24132508.5,0.0,3,"hosp,mixed",direct,0.0
2025-Q1,T01,넥시움정,OG_2025-Q1_T01_넥시움정_03,8,56337013.0,56337013.0,28168506.5,28168506.5,0.0,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,넥시움정,OG_2025-Q1_T01_넥시움정_04,5,46965465.0,46965465.0,23482732.5,23482732.5,-0.01,2,"clinic,mixed",direct,0.0
2025-Q1,T01,넥시움정,OG_2025-Q1_T01_넥시움정_05,11,73212968.0,73212968.0,36606484.0,36606484.0,-0.01,5,"clinic,mixed",direct,0.0
2025-Q1,T01,디아미크롱서방정,OG_2025-Q1_T01_디아미크롱서방정_01,7,36753000.0,36753000.0,18376500.0,18376500.0,0.0,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,디아미크롱서방정,OG_2025-Q1_T01_디아미크롱서방정_02,13,27162200.0,27162200.0,13581100.0,13581100.0,0.0,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,디아미크롱서방정,OG_2025-Q1_T01_디아미크롱서방정_03,20,63019800.0,63019800.0,31509900.0,31509900.0,0.0,6,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,디아미크롱서방정,OG_2025-Q1_T01_디아미크롱서방정_04,10,25547800.0,25547800.0,12773900.0,12773900.0,-0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,디아미크롱서방정,OG_2025-Q1_T01_디아미크롱서방정_05,17,37906400.0,37906400.0,18953200.0,18953200.0,-0.02,7,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,로수젯정,OG_2025-Q1_T01_로수젯정_01,10,65812395.0,65812395.0,32906197.5,32906197.5,-0.04,6,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,로수젯정,OG_2025-Q1_T01_로수젯정_02,7,79454274.0,79454274.0,39727137.0,39727137.0,0.0,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,로수젯정,OG_2025-Q1_T01_로수젯정_03,8,155504097.0,155504097.0,77752048.5,77752048.5,0.01,4,"clinic,mixed",direct,0.0
2025-Q1,T01,로수젯정,OG_2025-Q1_T01_로수젯정_04,10,104142072.0,104142072.0,52071036.0,52071036.0,-0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,로수젯정,OG_2025-Q1_T01_로수젯정_05,16,210982644.0,210982644.0,105491322.0,105491322.0,0.01,6,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,록소르정,OG_2025-Q1_T01_록소르정_01,9,4134600.0,4134600.0,2067300.0,2067300.0,0.01,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,록소르정,OG_2025-Q1_T01_록소르정_02,13,25064800.0,25064800.0,12532400.0,12532400.0,0.0,6,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,록소르정,OG_2025-Q1_T01_록소르정_03,11,25940600.0,25940600.0,12970300.0,12970300.0,0.02,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,록소르정,OG_2025-Q1_T01_록소르정_04,10,20056400.0,20056400.0,10028200.0,10028200.0,0.0,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,록소르정,OG_2025-Q1_T01_록소르정_05,10,20702200.0,20702200.0,10351100.0,10351100.0,0.01,1,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,리피토정,OG_2025-Q1_T01_리피토정_01,14,42494550.0,42494550.0,21247275.0,21247275.0,0.0,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,리피토정,OG_2025-Q1_T01_리피토정_02,11,66654588.0,66654588.0,33327294.0,33327294.0,0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,리피토정,OG_2025-Q1_T01_리피토정_03,9,54856353.0,54856353.0,27428176.5,27428176.5,-0.03,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,리피토정,OG_2025-Q1_T01_리피토정_04,12,45101028.0,45101028.0,22550514.0,22550514.0,-0.02,5,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,리피토정,OG_2025-Q1_T01_리피토정_05,9,53913231.0,53913231.0,26956615.5,26956615.5,0.0,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,서스펜정,OG_2025-Q1_T01_서스펜정_01,10,23052435.0,23052435.0,11526217.5,11526217.5,-0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,서스펜정,OG_2025-Q1_T01_서스펜정_02,11,37163613.0,37163613.0,18581806.5,18581806.5,0.03,7,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,서스펜정,OG_2025-Q1_T01_서스펜정_03,6,10556106.0,10556106.0,5278053.0,5278053.0,0.01,4,"hosp,mixed",direct,0.0
2025-Q1,T01,서스펜정,OG_2025-Q1_T01_서스펜정_04,9,45558936.0,45558936.0,22779468.0,22779468.0,0.01,3,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,서스펜정,OG_2025-Q1_T01_서스펜정_05,10,15954999.0,15954999.0,7977499.5,7977499.5,0.0,4,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,세파클러캡슐,OG_2025-Q1_T01_세파클러캡슐_01,11,101189600.0,101189600.0,50594800.0,50594800.0,-0.02,2,"clinic,hosp,mixed",direct,0.0
2025-Q1,T01,세파클러캡슐,OG_2025-Q1_T01_세파클러캡슐_02,8,79243400.0,79243400.0,39621700.0,39621700.0,0.0,2,"clinic,hosp,mixed",direct,0.0
