case_id,ship_id (출고ID),year_quarter (연분기),territory_code (영업권역코드),brand (브랜드),trace_status (추적상태),trace_reason (추적사유),note (비고),updated_by (수정자),updated_at (수정시각),created_from (생성소스)
TRC_1aee781f0883,S00000001,2025-Q2,T04,록소르정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_de5e4666e670,S00000016,2025-Q2,T09,아토르바정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_30f1cf5245e4,S00000019,2025-Q2,T09,서스펜정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_064e088df8d8,S00000027,2025-Q1,T10,네시나정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_097724081ff6,S00000043,2025-Q4,T04,아모잘탄정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_979fb8e953f1,S00000050,2025-Q1,T08,로수젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_6296ca4b47c4,S00000054,2025-Q4,T09,올메텍정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_c5faf8a017e7,S00000092,2025-Q1,T01,엑스포지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_7ece47ab9827,S00000102,2025-Q4,T04,자누비아정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_49ad16d9d711,S00000110,2025-Q1,T04,로수젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_909313591cec,S00000113,2025-Q4,T08,카나브정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_c62eeafca1be,S00000141,2025-Q2,T10,록소르정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_0d8ed30f31e5,S00000147,2025-Q1,T04,네시나정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_234c293d83c7,S00000149,2025-Q3,T02,글루코파지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_788fb09157fc,S00000153,2025-Q2,T06,카나브정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_a2082a147ff1,S00000157,2025-Q3,T04,타미플루캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_67cf954784ba,S00000167,2025-Q1,T09,네시나정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_2c2e38801944,S00000183,2025-Q2,T04,아모잘탄정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_d5ab88460c61,S00000186,2025-Q4,T02,트라젠타정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_eb934b8ca786,S00000187,2025-Q3,T06,네시나정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_317d9b3981ee,S00000199,2025-Q1,T01,서스펜정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_e315b501e289,S00000202,2025-Q3,T10,자누비아정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_028a6f5cb1ad,S00000207,2025-Q3,T10,네시나정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_2b8b00e98df4,S00000220,2025-Q3,T03,넥시움정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_c78e6b11fef3,S00000229,2025-Q3,T02,글루코파지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_910d1bdabbb5,S00000243,2025-Q2,T04,아모잘탄정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_642e06a1f6e5,S00000251,2025-Q2,T05,아토젯정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_937ff20a2d43,S00000265,2025-Q1,T04,플라빅스정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_8633986e9fad,S00000269,2025-Q3,T07,글루코파지정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_4261f5e42ed9,S00000297,2025-Q1,T06,타미플루캡슐,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_32c09ca1d2af,S00000314,2025-Q1,T03,올메텍정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_3a06c70cc616,S00000345,2025-Q3,T10,플라빅스정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_c3475c017fc7,S00000347,2025-Q2,T06,네시나정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_a012f9635530,S00000364,2025-Q1,T02,리피토정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_5d7e7f49ba74,S00000402,2025-Q4,T04,자누비아정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_bc2cb0d00523,S00000414,2025-Q1,T05,올메텍정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_7afa9f78e339,S00000419,2025-Q3,T09,서스펜정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_7a7882688ba5,S00000426,2025-Q2,T04,트라젠타정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_a4e62ae13dda,S00000434,2025-Q3,T03,올메텍정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_16fae281df02,S00000443,2025-Q3,T04,아모잘탄정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
TRC_1158ea4b5fd5,S00000445,2025-Q3,T07,플라빅스정,Unverified,low_coverage,,system,2026-03-04T05:12:25.382686+00:00,tracking_validation
