case_id,ship_id (출고ID),year_quarter (연분기),territory_code (영업권역코드),brand (브랜드),gap_amount (갭금액),coverage_ratio (커버리지비율),trace_status (추적상태),trace_reason (추적사유),created_from (생성소스)
TRC_1aee781f0883,S00000001,2025-Q2,T04,록소르정,386918.11,0.7733,Unverified,low_coverage,tracking_validation
TRC_de5e4666e670,S00000016,2025-Q2,T09,아토르바정,4037619.9,0.7731,Unverified,low_coverage,tracking_validation
TRC_30f1cf5245e4,S00000019,2025-Q2,T09,서스펜정,2474471.69,0.7734,Unverified,low_coverage,tracking_validation
TRC_064e088df8d8,S00000027,2025-Q1,T10,네시나정,5469402.39,0.7735,Unverified,low_coverage,tracking_validation
TRC_097724081ff6,S00000043,2025-Q4,T04,아모잘탄정,595121.1,0.7874,Unverified,low_coverage,tracking_validation
TRC_979fb8e953f1,S00000050,2025-Q1,T08,로수젯정,782204.99,0.7861,Unverified,low_coverage,tracking_validation
TRC_6296ca4b47c4,S00000054,2025-Q4,T09,올메텍정,448570.77,0.7959,Unverified,low_coverage,tracking_validation
TRC_c5faf8a017e7,S00000092,2025-Q1,T01,엑스포지정,784174.91,0.7899,Unverified,low_coverage,tracking_validation
TRC_7ece47ab9827,S00000102,2025-Q4,T04,자누비아정,17565631.96,0.7934,Unverified,low_coverage,tracking_validation
TRC_49ad16d9d711,S00000110,2025-Q1,T04,로수젯정,229800.12,0.7733,Unverified,low_coverage,tracking_validation
TRC_909313591cec,S00000113,2025-Q4,T08,카나브정,323660.95,0.794,Unverified,low_coverage,tracking_validation
TRC_c62eeafca1be,S00000141,2025-Q2,T10,록소르정,128077.79,0.7718,Unverified,low_coverage,tracking_validation
TRC_0d8ed30f31e5,S00000147,2025-Q1,T04,네시나정,555663.05,0.7889,Unverified,low_coverage,tracking_validation
TRC_234c293d83c7,S00000149,2025-Q3,T02,글루코파지정,837534.12,0.7954,Unverified,low_coverage,tracking_validation
TRC_788fb09157fc,S00000153,2025-Q2,T06,카나브정,454265.07,0.7964,Unverified,low_coverage,tracking_validation
TRC_a2082a147ff1,S00000157,2025-Q3,T04,타미플루캡슐,9612614.16,0.7807,Unverified,low_coverage,tracking_validation
TRC_67cf954784ba,S00000167,2025-Q1,T09,네시나정,945031.19,0.7815,Unverified,low_coverage,tracking_validation
TRC_2c2e38801944,S00000183,2025-Q2,T04,아모잘탄정,5258478.88,0.7872,Unverified,low_coverage,tracking_validation
TRC_d5ab88460c61,S00000186,2025-Q4,T02,트라젠타정,350354.12,0.7966,Unverified,low_coverage,tracking_validation
TRC_eb934b8ca786,S00000187,2025-Q3,T06,네시나정,789637.74,0.7893,Unverified,low_coverage,tracking_validation
TRC_317d9b3981ee,S00000199,2025-Q1,T01,서스펜정,583302.72,0.7886,Unverified,low_coverage,tracking_validation
TRC_e315b501e289,S00000202,2025-Q3,T10,자누비아정,13737252.68,0.7745,Unverified,low_coverage,tracking_validation
TRC_028a6f5cb1ad,S00000207,2025-Q3,T10,네시나정,5822687.82,0.7993,Unverified,low_coverage,tracking_validation
TRC_2b8b00e98df4,S00000220,2025-Q3,T03,넥시움정,584753.03,0.7723,Unverified,low_coverage,tracking_validation
TRC_c78e6b11fef3,S00000229,2025-Q3,T02,글루코파지정,112310.79,0.7743,Unverified,low_coverage,tracking_validation
TRC_910d1bdabbb5,S00000243,2025-Q2,T04,아모잘탄정,487349.43,0.7881,Unverified,low_coverage,tracking_validation
TRC_642e06a1f6e5,S00000251,2025-Q2,T05,아토젯정,9190167.99,0.7916,Unverified,low_coverage,tracking_validation
TRC_937ff20a2d43,S00000265,2025-Q1,T04,플라빅스정,6296351.04,0.7952,Unverified,low_coverage,tracking_validation
TRC_8633986e9fad,S00000269,2025-Q3,T07,글루코파지정,1743296.59,0.7844,Unverified,low_coverage,tracking_validation
TRC_4261f5e42ed9,S00000297,2025-Q1,T06,타미플루캡슐,617661.76,0.7994,Unverified,low_coverage,tracking_validation
TRC_32c09ca1d2af,S00000314,2025-Q1,T03,올메텍정,134791.41,0.7878,Unverified,low_coverage,tracking_validation
TRC_3a06c70cc616,S00000345,2025-Q3,T10,플라빅스정,2667091.75,0.7844,Unverified,low_coverage,tracking_validation
TRC_c3475c017fc7,S00000347,2025-Q2,T06,네시나정,826843.16,0.7795,Unverified,low_coverage,tracking_validation
TRC_a012f9635530,S00000364,2025-Q1,T02,리피토정,4330410.64,0.789,Unverified,low_coverage,tracking_validation
TRC_5d7e7f49ba74,S00000402,2025-Q4,T04,자누비아정,2556819.02,0.7866,Unverified,low_coverage,tracking_validation
TRC_bc2cb0d00523,S00000414,2025-Q1,T05,올메텍정,37757.48,0.7909,Unverified,low_coverage,tracking_validation
TRC_7afa9f78e339,S00000419,2025-Q3,T09,서스펜정,3472515.79,0.7694,Unverified,low_coverage,tracking_validation
TRC_7a7882688ba5,S00000426,2025-Q2,T04,트라젠타정,950999.67,0.7889,Unverified,low_coverage,tracking_validation
TRC_a4e62ae13dda,S00000434,2025-Q3,T03,올메텍정,330582.23,0.7774,Unverified,low_coverage,tracking_validation
TRC_16fae281df02,S00000443,2025-Q3,T04,아모잘탄정,910857.76,0.7774,Unverified,low_coverage,tracking_validation
TRC_1158ea4b5fd5,S00000445,2025-Q3,T07,플라빅스정,3005444.71,0.7768,Unverified,low_coverage,tracking_validation
TRC_1f72ea82e665,S00000478,2025-Q2,T08,세파클러캡슐,4812306.61,0.7811,Unverified,low_coverage,tracking_validation
TRC_bd5467965179,S00000483,2025-Q2,T04,아모잘탄정,283556.05,0.7967,Unverified,low_coverage,tracking_validation
TRC_7cb0037413e2,S00000492,2025-Q1,T06,엑스포지정,485533.81,0.7786,Unverified,low_coverage,tracking_validation
TRC_9463ac12b6c0,S00000502,2025-Q4,T01,자누비아정,1613576.87,0.7882,Unverified,low_coverage,tracking_validation
TRC_fa1d51bbdee0,S00000507,2025-Q2,T10,네시나정,946491.6,0.7764,Unverified,low_coverage,tracking_validation
TRC_8635202ede7a,S00000544,2025-Q4,T04,리피토정,466911.74,0.7877,Unverified,low_coverage,tracking_validation
TRC_4dd6c73df278,S00000547,2025-Q1,T05,네시나정,8521180.27,0.7757,Unverified,low_coverage,tracking_validation
TRC_21e85352a24a,S00000552,2025-Q1,T03,엑스포지정,570981.58,0.7858,Unverified,low_coverage,tracking_validation
TRC_ea3e3dc6ee97,S00000559,2025-Q4,T07,서스펜정,346692.05,0.7968,Unverified,low_coverage,tracking_validation
TRC_6109e74381a6,S00000577,2025-Q1,T10,타미플루캡슐,4628927.23,0.7882,Unverified,low_coverage,tracking_validation
TRC_21bb7e3a17b3,S00000589,2025-Q1,T02,글루코파지정,1977049.4,0.7923,Unverified,low_coverage,tracking_validation
TRC_82117f575068,S00000596,2025-Q4,T08,아토르바정,201615.79,0.7944,Unverified,low_coverage,tracking_validation
TRC_348abf84851d,S00000616,2025-Q2,T07,아토르바정,2522359.51,0.7861,Unverified,low_coverage,tracking_validation
TRC_f6b8219269ed,S00000644,2025-Q4,T05,리피토정,660729.55,0.7881,Unverified,low_coverage,tracking_validation
TRC_13ee91d0069e,S00000646,2025-Q4,T04,트라젠타정,937931.04,0.77,Unverified,low_coverage,tracking_validation
TRC_5245208e843c,S00000703,2025-Q3,T07,아모잘탄정,257321.32,0.7829,Unverified,low_coverage,tracking_validation
TRC_30d002c43ab3,S00000706,2025-Q3,T01,트라젠타정,104532.92,0.7825,Unverified,low_coverage,tracking_validation
TRC_8a1f40745807,S00000709,2025-Q3,T03,글루코파지정,1856716.31,0.77,Unverified,low_coverage,tracking_validation
TRC_6b16efa60e8c,S00000728,2025-Q3,T10,가브스정,4757962.99,0.7896,Unverified,low_coverage,tracking_validation
TRC_9a65d2a9fab1,S00000746,2025-Q1,T09,트라젠타정,1048681.55,0.7712,Unverified,low_coverage,tracking_validation
TRC_37e07a16a014,S00000763,2025-Q4,T04,아모잘탄정,8075771.45,0.7702,Unverified,low_coverage,tracking_validation
TRC_af5f581b38e1,S00000770,2025-Q3,T05,로수젯정,742745.86,0.798,Unverified,low_coverage,tracking_validation
TRC_a0efa10d0451,S00000783,2025-Q2,T05,아모잘탄정,97462.36,0.7782,Unverified,low_coverage,tracking_validation
TRC_e7ba1820e88b,S00000794,2025-Q4,T04,올메텍정,92826.4,0.7936,Unverified,low_coverage,tracking_validation
TRC_cbf3ef5c5de0,S00000803,2025-Q3,T06,아모잘탄정,415993.21,0.7815,Unverified,low_coverage,tracking_validation
TRC_35a99c5dadaf,S00000813,2025-Q4,T09,카나브정,2360194.93,0.7837,Unverified,low_coverage,tracking_validation
TRC_dc122a2ad57e,S00000826,2025-Q2,T07,트라젠타정,750815.16,0.7743,Unverified,low_coverage,tracking_validation
TRC_8133b1ccf23a,S00000830,2025-Q4,T10,로수젯정,8327457.89,0.7794,Unverified,low_coverage,tracking_validation
TRC_b38d6415cbdc,S00000832,2025-Q4,T09,엑스포지정,719521.91,0.7726,Unverified,low_coverage,tracking_validation
