wholesaler_name (도매상명),biz_type (업종명),wholesaler_addr_road (도매도로명주소),wholesaler_addr_jibun (도매지번주소),wholesaler_tel (도매전화),lat (위도),lon (경도),business_status (영업상태),as_of_date (기준일자),provider_org_code (제공기관코드),provider_org_name (제공기관명),has_transport_vehicle,has_storage_facility,supervising_agency,active_flag (활성여부),is_valid_wholesaler (유효도매여부),wholesaler_id (도매상ID),source_file (원천파일),source_sheet (원천시트),source_row_id (원천행ID)
대신당건재약품,한약도매,경상남도 창원시 진해구 충장로 357 (경화동),경상남도 창원시 진해구 경화동 972-7,,35.15391376,128.6911033,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,진해보건소,True,False,W00001,3. 전국의약품도매업소표준데이터.csv,,1
진양특수가스,의료용고압가스,경상남도 창원시 진해구 진해대로1114번길 122 (행암동),경상남도 창원시 진해구 행암동 31-5,,35.1208696,128.7049918,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,진해보건소,True,False,W00002,3. 전국의약품도매업소표준데이터.csv,,2
삼일가스,의료용고압가스,경상남도 창원시 진해구 진해대로1114번길 122 (행암동),경상남도 창원시 진해구 행암동 31-5,,35.1208696,128.7049918,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,진해보건소,True,False,W00003,3. 전국의약품도매업소표준데이터.csv,,3
"진해산소,일사가스",의료용고압가스,경상남도 창원시 진해구 진해대로1114번길 116 (행암동),경상남도 창원시 진해구 행암동 30-4,,35.12128003,128.705798,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,진해보건소,True,False,W00004,3. 전국의약품도매업소표준데이터.csv,,4
진해건재한약품,한약도매,경상남도 창원시 진해구 이동로 40-1 (이동),경상남도 창원시 진해구 이동 611-2,,35.1507936,128.6963003,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,진해보건소,True,False,W00005,3. 전국의약품도매업소표준데이터.csv,,5
(주)엠에스신항만가스,의료용고압가스,"경상남도 창원시 진해구 용원로101번길 12, (주)엠에스 신항만가스 (용원동)","경상남도 창원시 진해구 용원동 1121, (주)엠에스 신항만가스 (용원동)",,35.09920148,128.820724,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,진해보건소,True,False,W00006,3. 전국의약품도매업소표준데이터.csv,,6
본초당건재한약품,한약도매,경상남도 창원시 진해구 경화로 22번길 4-1 (경화동),경상남도 창원시 진해구 경화동 465,,35.15530008,128.6865425,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,진해보건소,True,False,W00007,3. 전국의약품도매업소표준데이터.csv,,7
에이팜,일반종합도매,"경상남도 창원시 의창구 하남천서길9번길 20-10(도계동, 우성빌라)",경상남도 창원시 의창구 도계동 312-21,,35.26122236,128.6379675,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00008,3. 전국의약품도매업소표준데이터.csv,,8
와이디팜,일반종합도매,"경상남도 창원시 의창구 서상로12번길 29, 2층 202호 (서상동, 일심골든타워)",경상남도 창원시 의창구 서상동 213-2,,35.26212378,128.6175786,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00009,3. 전국의약품도매업소표준데이터.csv,,9
삼우메디,일반종합도매,경상남도 창원시 의창구 서상로11번길 3 (동정동),경상남도 창원시 의창구 동정동 541-1,,35.26263334,128.6141033,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00010,3. 전국의약품도매업소표준데이터.csv,,10
(주)우진팜,일반종합도매,경상남도 창원시 의창구 사화로9번길 13 (팔용동),경상남도 창원시 의창구 팔용동 163-12,,35.25838228,128.6097804,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00011,3. 전국의약품도매업소표준데이터.csv,,11
정약품,일반종합도매,경상남도 창원시 의창구 북면 천주로1165번길 32-11,경상남도 창원시 의창구 북면 신촌리 403-9,,35.35650308,128.6077633,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00012,3. 전국의약품도매업소표준데이터.csv,,12
(주)바른약품,일반종합도매,경상남도 창원시 의창구 북면 천주로1165번길 32-11,경상남도 창원시 의창구 북면 신촌리 403-9,,35.35650308,128.6077633,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00013,3. 전국의약품도매업소표준데이터.csv,,13
송민유통,일반종합도매,"경상남도 창원시 진해구 석동로83번안길 4-10, 1층",경상남도 창원시 진해구 석동 633-5,,35.1581365824,128.706222,영업,2026-01-28,5670000,경상남도 창원시,Y,N,진해보건소,True,False,W00014,3. 전국의약품도매업소표준데이터.csv,,14
건후유통,일반종합도매,경상남도 창원시 의창구 북면 마산길42번길 25-1,경상남도 창원시 의창구 북면 마산리 202,,35.34226092,128.6182239,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00015,3. 전국의약품도매업소표준데이터.csv,,15
세계약품,일반종합도매,"경상남도 창원시 의창구 북면 동전로110번길 8, 플래츠나인 2층 204호",경상남도 창원시 의창구 북면 감계리 56,,35.30533048,128.5969404,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00016,3. 전국의약품도매업소표준데이터.csv,,16
장백메디칼,일반종합도매,경상남도 창원시 의창구 북면 달천길 72,경상남도 창원시 의창구 북면 외감리 648,,35.28825177,128.598872,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00017,3. 전국의약품도매업소표준데이터.csv,,17
금성약품(주),일반종합도매,"경상남도 창원시 의창구 무역로503번길 17, 대동백화점 물류센터 204호 (팔용동)",경상남도 창원시 의창구 팔용동 2-1,,35.22592815,128.6349791,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00018,3. 전국의약품도매업소표준데이터.csv,,18
창인약품,일반종합도매,"경상남도 창원시 의창구 무역로503번길 17, 대동백화점 물류센터 (팔용동)",경상남도 창원시 의창구 팔용동 2-1,,35.22592815,128.6349791,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00019,3. 전국의약품도매업소표준데이터.csv,,19
(주)디와이메디칼,일반종합도매,"경상남도 창원시 의창구 무역로 553, 2층 (팔용동)",경상남도 창원시 의창구 팔용동 8-53,,35.22775495,128.6386761,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00020,3. 전국의약품도매업소표준데이터.csv,,20
인터팜(주),일반종합도매,"경상남도 창원시 의창구 무역로 547, 조은물류센터 4층 (팔용동)",경상남도 창원시 의창구 팔용동 4-53,,35.22712408,128.6380845,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00021,3. 전국의약품도매업소표준데이터.csv,,21
(주)이에스팜,일반종합도매,"경상남도 창원시 의창구 평산로163번길 4-12, 1층 (서상동)",경상남도 창원시 의창구 서상동 687-9,,35.25725344,128.6234681,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00022,3. 전국의약품도매업소표준데이터.csv,,22
중동팜 주식회사,일반종합도매,경상남도 창원시 의창구 평산로159번길 35 (서상동),경상남도 창원시 의창구 서상동 698-8,,35.25560367,128.6202408,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00023,3. 전국의약품도매업소표준데이터.csv,,23
청해메디칼,일반종합도매,"경상남도 창원시 의창구 평산로147번길 28-14, 101호 (서상동)",경상남도 창원시 의창구 서상동 683-5,,35.25729854,128.6214092,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00024,3. 전국의약품도매업소표준데이터.csv,,24
화성본초원,한약도매,"경상남도 창원시 의창구 평산로135번길 7, 1층 (서상동)",경상남도 창원시 의창구 서상동 706-8,,35.25487451,128.6210272,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00025,3. 전국의약품도매업소표준데이터.csv,,25
경남산소,의료용고압가스,경상남도 창원시 의창구 팔용로371번길 13 (팔용동),경상남도 창원시 의창구 팔용동 28-4,,35.25130334,128.6075155,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00026,3. 전국의약품도매업소표준데이터.csv,,26
청강메딕스,일반종합도매,"경상남도 창원시 의창구 팔용로 499, 삼진빌딩 2층 (팔용동)",경상남도 창원시 의창구 팔용동 187-11,,35.25999411,128.6170147,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00027,3. 전국의약품도매업소표준데이터.csv,,27
청강약품,일반종합도매,"경상남도 창원시 의창구 팔용로 499 (팔용동, 삼진빌딩2층)",경상남도 창원시 의창구 팔용동 187-11,,35.25999411,128.6170386,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00028,3. 전국의약품도매업소표준데이터.csv,,28
와이지 약품,일반종합도매,"경상남도 창원시 의창구 팔용로 497, 202호 (팔용동)",경상남도 창원시 의창구 팔용동 187-12,,35.25991679,128.616917,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00029,3. 전국의약품도매업소표준데이터.csv,,29
주안메디팜,일반종합도매,"경상남도 창원시 의창구 태복산로3번길 31-1, 가야빌딩 (도계동)",경상남도 창원시 의창구 도계동 404-5,,35.25470491,128.6369154,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00030,3. 전국의약품도매업소표준데이터.csv,,30
진주산소,의료용고압가스,"경상남도 창원시 의창구 차룡로 48번길 57, 가스충전소 (팔용동)",경상남도 창원시 의창구 팔용동 39-14,,35.24135201,128.6332627,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00031,3. 전국의약품도매업소표준데이터.csv,,31
주식회사 에스유메디칼,일반종합도매,"경상남도 창원시 의창구 중동중앙로 47, 어반브릭스 901호 (중동)",경상남도 창원시 의창구 중동 784-1,,35.25662601,128.6249983,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00032,3. 전국의약품도매업소표준데이터.csv,,32
세화약품(주) 경남지점,일반종합도매,경상남도 창원시 의창구 의창대로54번길 14-16 (팔용동),경상남도 창원시 의창구 팔용동 151-7,,35.25494745,128.6072101,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00033,3. 전국의약품도매업소표준데이터.csv,,33
씨앤메디칼,일반종합도매,"경상남도 창원시 의창구 의창대로282번길 9-4, 1층 (중동)",경상남도 창원시 의창구 중동 761-2,,35.26030737,128.6291966,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00034,3. 전국의약품도매업소표준데이터.csv,,34
에코메디칼,일반종합도매,"경상남도 창원시 의창구 의창대로210번길 14, 1층 101호 (서상동)",경상남도 창원시 의창구 서상동 651-9,,35.26013169,128.6206375,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00035,3. 전국의약품도매업소표준데이터.csv,,35
에스엠피㈜,일반종합도매,경상남도 창원시 의창구 의창대로116번길 2 (팔용동),경상남도 창원시 의창구 팔용동 167-2,,35.2602907,128.6113318,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00036,3. 전국의약품도매업소표준데이터.csv,,36
편한 약업사,한약도매,"경상남도 창원시 의창구 의안로49번길 30, 창원공설시장 B동 101호 (북동)",경상남도 창원시 의창구 북동 249-1,,35.26618055,128.6206956,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00037,3. 전국의약품도매업소표준데이터.csv,,37
대형약품,일반종합도매,경상남도 창원시 의창구 남산로1번길 8 (팔용동),경상남도 창원시 의창구 팔용동 179-1,,35.26052405,128.611357,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00038,3. 전국의약품도매업소표준데이터.csv,,38
(주)수메디팜,일반종합도매,"경상남도 창원시 의창구 남산로 31, 2층 (팔용동, 덕산다모아빌딩)",경상남도 창원시 의창구 팔용동 170-10,,35.25878053,128.6135217,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00039,3. 전국의약품도매업소표준데이터.csv,,39
(주)제이디팜,일반종합도매,경상남도 창원시 의창구 남산로 14 (팔용동),경상남도 창원시 의창구 팔용동 165-4,,35.25939835,128.6117138,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00040,3. 전국의약품도매업소표준데이터.csv,,40
지엠팜,일반종합도매,"경상남도 창원시 성산구 중앙대로100번길 14, 스타타워즈오피스텔 13층 1316호 (상남동)",경상남도 창원시 성산구 상남동 76-1,,35.22238275,128.6811056,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00041,3. 전국의약품도매업소표준데이터.csv,,41
세한약품,일반종합도매,"경상남도 창원시 성산구 중앙대로 77, 동성올림픽타운 601호 (중앙동)",경상남도 창원시 성산구 중앙동 97-2,,35.22223335,128.6777326,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00042,3. 전국의약품도매업소표준데이터.csv,,42
엠알피(M.R.P.),일반종합도매,"경상남도 창원시 성산구 용지로 96, 하이페르 3층 312호 (중앙동)",경상남도 창원시 성산구 중앙동 95-1,,35.22412522,128.6780557,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00043,3. 전국의약품도매업소표준데이터.csv,,43
시올메디칼(주),일반종합도매,경상남도 창원시 성산구 연덕로184번길 33 (내동),경상남도 창원시 성산구 내동 456-24,,35.21752515,128.669322,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00044,3. 전국의약품도매업소표준데이터.csv,,44
에스비팜,일반종합도매,"경상남도 창원시 성산구 신월로 42, 토월복합상가 6층 612호 (신월동)",경상남도 창원시 성산구 신월동 68-1,,35.22803385,128.6919289,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00045,3. 전국의약품도매업소표준데이터.csv,,45
우수약품(주),일반종합도매,"경상남도 창원시 성산구 상남로 71, 창원코아상가 3층 311호 (상남동)",경상남도 창원시 성산구 상남동 73-4,,35.22044242,128.6795415,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00046,3. 전국의약품도매업소표준데이터.csv,,46
모두약품 주식회사,일반종합도매,"경상남도 창원시 성산구 상남로 71, 창원코아상가 (상남동)",경상남도 창원시 성산구 상남동 73-4,,35.22044242,128.6795415,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00047,3. 전국의약품도매업소표준데이터.csv,,47
황우,한약도매,"경상남도 창원시 성산구 상남로 260, 지하층 (신월동)",경상남도 창원시 성산구 신월동 1-3,,35.23404989,128.6920521,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00048,3. 전국의약품도매업소표준데이터.csv,,48
주식회사 백건,일반종합도매,"경상남도 창원시 성산구 삼정자로 7, 남천프라자 5층 501호 (성주동)",경상남도 창원시 성산구 성주동 146-4,,35.19812496,128.7063872,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00049,3. 전국의약품도매업소표준데이터.csv,,49
파인팜(주),일반종합도매,"경상남도 창원시 의창구 무역로 547, 조은물류센터 2층 (팔용동)",경상남도 창원시 의창구 팔용동 4-53,,35.22712408,128.6380689,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00050,3. 전국의약품도매업소표준데이터.csv,,50
계림약품,일반종합도매,"경상남도 창원시 의창구 동읍 의창대로915번길 2, 청담빌딩 3층",경상남도 창원시 의창구 동읍 용잠리 252-5,,35.27934984,128.6907768,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00051,3. 전국의약품도매업소표준데이터.csv,,51
진메디팜,일반종합도매,경상남도 창원시 의창구 동읍 동읍로83번길 9,경상남도 창원시 의창구 동읍 용잠리 703,,35.28324613,128.6814429,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00052,3. 전국의약품도매업소표준데이터.csv,,52
(주)한중약품,일반종합도매,경상남도 창원시 의창구 동읍 동읍로 17-16,경상남도 창원시 의창구 동읍 용잠리 452-1,,35.27910335,128.6822404,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00053,3. 전국의약품도매업소표준데이터.csv,,53
제이에이치팜,일반종합도매,경상남도 창원시 의창구 도계로 47 (도계동),경상남도 창원시 의창구 도계동 326-17,,35.26021914,128.6371401,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00054,3. 전국의약품도매업소표준데이터.csv,,54
명성당건재한약품,한약도매,경상남도 창원시 의창구 도계로 37 (도계동),경상남도 창원시 의창구 도계동 327-14,,35.26082215,128.636441,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00055,3. 전국의약품도매업소표준데이터.csv,,55
경원팜,일반종합도매,경상남도 창원시 의창구 대산면 진산대로 394-23,경상남도 창원시 의창구 대산면 제동리 262-3,,35.33512952,128.7105884,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00056,3. 전국의약품도매업소표준데이터.csv,,56
케이에스메디팜,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2층","경상남도 창원시 의창구 대산면 제동리 491-3, 2층",,35.32594258,128.7152376,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00057,3. 전국의약품도매업소표준데이터.csv,,57
주식회사 시제이팜,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2동 1층 일부호",경상남도 창원시 의창구 대산면 제동리 491-3,,35.32594258,128.7152376,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00058,3. 전국의약품도매업소표준데이터.csv,,58
(주)경원약품,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2동 1층 104호",경상남도 창원시 의창구 대산면 제동리 491-3,,35.32594258,128.7152376,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00059,3. 전국의약품도매업소표준데이터.csv,,59
(주)엔알컴퍼니,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2동 103호",경상남도 창원시 의창구 대산면 제동리 491-3,,35.32594258,128.7152376,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00060,3. 전국의약품도매업소표준데이터.csv,,60
(주)티에스팜,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2동 101호",경상남도 창원시 의창구 대산면 제동리 491-3,,35.32594258,128.7152376,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00061,3. 전국의약품도매업소표준데이터.csv,,61
엠에스컴퍼니,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 1동 2층 일부호",경상남도 창원시 의창구 대산면 제동리 491-3,,35.32594258,128.7152376,영업,2026-01-28,5670000,경상남도 창원시,Y,N,창원보건소,True,False,W00062,3. 전국의약품도매업소표준데이터.csv,,62
두루팜,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 1,2동 1동1층,2동102호",경상남도 창원시 의창구 대산면 제동리 491-3,,35.32594258,128.7152376,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00063,3. 전국의약품도매업소표준데이터.csv,,63
광우한약품,한약도매,경상남도 창원시 의창구 대산면 우암로99번길 56,경상남도 창원시 의창구 대산면 유등리 802-2,,35.3336665,128.7324296,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00064,3. 전국의약품도매업소표준데이터.csv,,64
대원당건재한약품,한약도매,경상남도 창원시 의창구 의안로28번길 1 (소답동),경상남도 창원시 의창구 소답동 108-18,,35.26405697,128.6240173,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00065,3. 전국의약품도매업소표준데이터.csv,,65
(주)오성팜,일반종합도매,"경상남도 창원시 의창구 의안로27번길 19, 3층 (중동)",경상남도 창원시 의창구 중동 607,,35.2638603,128.6217999803,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00066,3. 전국의약품도매업소표준데이터.csv,,66
경남나눔한약,한약도매,"경상남도 창원시 의창구 의안로12번길 3 (소답동, 102호)","경상남도 창원시 의창구 소답동 111-3(소답동, 102호)",,35.26275842,128.6242039,영업,2026-01-28,5670000,경상남도 창원시,Y,Y,창원보건소,True,False,W00067,3. 전국의약품도매업소표준데이터.csv,,67
